[Header]
TITLE,NdTiGaO_multifield_He3Base._50K.dat
BYAPP,HeatCapacity,3.9.3,1.7
INFO,6.856,MASS:Sample Mass (mg)
INFO,0.005,MASSERR:Sample Mass Error (mg)
INFO,,MOLWGHT:Formula Weight (g/mole)
INFO,,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.3 Build 101,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (µJ/K),Samp HC Err (µJ/K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (µJ/K/K),Addenda Offset HC (µJ/K)
3762112195.78544,,1857,6.50818,6.50818,0.011898048222065,9.89999989542412E-6,6.6044071,0.12938293,2.5538897,0.03096,5.6316552,0.01439,8.1855449,0.02741,1.4244707,4.7095194,0,100,0,0,1,,,,1.7381E-6,9.491834,43.618193,0.38669477,0
3762112249.42137,,1857,6.51019,6.51019,-0.0237960964441299,9.89999989542412E-6,6.607902,0.13164678,2.5360551,0.01769,5.6370414,0.01441,8.1730964,0.01769,1.2778939,4.7189372,0.0064345375,99.366117,0,0,1,,,,1.733E-6,9.419039,43.664369,0.38379127,0
3762112813.6417,,1857,5.84161,5.84161,-0.011898048222065,9.89999989542412E-6,5.933417,0.12584052,1.8945653,0.02277,4.1905557,0.01079,6.085121,0.02005,0.82409202,4.0642717,0,100,0,0,1,,,,1.4972E-6,9.437874,35.205437,0.31930426,0
3762112864.92525,,1857,5.8452,5.8452,0.011898048222065,9.89999989542412E-6,5.9326338,0.11675766,1.8769515,0.0233,4.1896566,0.01079,6.0666081,0.02065,1.2124128,4.0419526,0,100,0,0,1,,,,1.5009E-6,8.128543,35.196143,0.31637744,0
3762112916.43109,,1857,5.84722,5.84722,-0.0475921928882599,9.89999989542412E-6,5.9339301,0.11637772,1.8806056,0.02519,4.1921007,0.01079,6.0727063,0.02276,1.3830111,4.0344677,0,100,0,0,1,,,,1.5052E-6,8.083905,35.211526,0.31692413,0
3762113462.27421,,1857,5.24655,5.24655,-0.011898048222065,9.89999989542412E-6,5.3266939,0.11257892,1.4846197,0.01509,3.0910862,0.007933,4.575706,0.01284,0.74142333,3.5231302,0,100,0,0,1,,,,1.2988E-6,8.068935,28.373668,0.27871317,0
3762113511.16861,,1857,5.24982,5.24982,-0.0237960964441299,9.89999989542412E-6,5.3278302,0.1068395,1.47479,0.00981,3.0925495,0.007937,4.5673395,0.00981,1.265137,3.5204913,0.0083668045,98.922249,0,0,1,,,,1.2988E-6,7.04626,28.385775,0.27680874,0
3762113558.59691,,1857,5.25169,5.25169,-0.011898048222065,9.89999989542412E-6,5.3299336,0.10681458,1.4701422,0.01004,3.0962663,0.007946,4.5664085,0.01004,0.98269417,3.5292618,0.012160371,98.441091,0,0,1,,,,1.296E-6,7.040983,28.408192,0.27582749,0
3762114096.51634,,1857,4.71227,4.71227,-0.0475921928882599,9.89999989542412E-6,4.7862875,0.10270794,1.2526053,0.007397,2.2642951,0.006097,3.5169004,0.007397,1.145521,3.1318913,0.0082176217,98.86545,0,0,1,,,,1.1246E-6,7.058524,22.908548,0.26170708,0
3762114141.50473,,1857,4.71528,4.71528,-0.0356941446661949,9.89999989542412E-6,4.7860675,0.09486304,1.2537043,0.01348,2.2661506,0.006102,3.5198549,0.01202,1.2038954,3.1080441,0,100,0,0,1,,,,1.1325E-6,6.263783,22.906442,0.26194874,0
